site_name,lat,lon,fire_probability,fire_risk_score,quake_probability,quake_risk_score,combined_probability,combined_risk_score
Santiago,-33.4489,-70.6693,0.3467694457223046,34.67694457223046,0.0006915748200863761,0.06915748200863761,0.3472212035253541,34.72212035253541
San Diego,32.7157,-117.1611,0.2674418721768811,26.744187217688108,0.0014126386213999709,0.1412638621399971,0.2684767120806645,26.847671208066448
Miami,25.7617,-80.1918,0.23950882977429502,23.9508829774295,0.00044993164650602974,0.044993164650602976,0.2398509988186679,23.985099881866788
Bangkok,13.7563,100.5018,0.2373748054220569,23.73748054220569,0.0006915748200863761,0.06915748200863761,0.2379022178037905,23.79022178037905
Los Angeles,34.0522,-118.2437,0.2225650508174785,22.25650508174785,0.0015338017877973861,0.1533801787797386,0.22375748193243084,22.375748193243084
Phoenix,33.4484,-112.074,0.21179406929531272,21.17940692953127,0.00032105182693777714,0.03210518269377771,0.21204712424936867,21.204712424936865
Port-au-Prince,18.5944,-72.3074,0.20791917031667126,20.791917031667126,0.0006915748200863761,0.06915748200863761,0.2084669534739534,20.84669534739534
Melbourne,-37.8136,144.9631,0.2058684819500945,20.58684819500945,0.0006915748200863761,0.06915748200863761,0.20641768331181476,20.641768331181474
Sacramento,38.5816,-121.4944,0.19588643118709956,19.588643118709957,0.0015338017877973861,0.1533801787797386,0.1971197820165369,19.71197820165369
San Jose CR,9.9281,-84.0907,0.1690560337026504,16.90560337026504,0.0013284379569495127,0.13284379569495128,0.17015989120757802,17.0159891207578
Managua,12.1364,-86.2514,0.15114261649768593,15.114261649768594,0.0013284379569495127,0.13284379569495128,0.15227027086596723,15.227027086596722
Brisbane,-27.4698,153.0251,0.13417404180374382,13.417404180374382,0.0006915748200863761,0.06915748200863761,0.13477282523500955,13.477282523500955
Honolulu,21.3099,-157.8581,0.1292606307538247,12.926063075382471,0.00178316161454857,0.178316161454857,0.13081329977334066,13.081329977334066
San Francisco,37.7749,-122.4194,0.12753995044994726,12.753995044994726,0.0029226906766862746,0.2922690676686275,0.1300898813025484,13.008988130254838
Tampa,27.9506,-82.4572,0.12454362336529046,12.454362336529046,0.00044993164650602974,0.044993164650602976,0.12493751889427385,12.493751889427385
Mexico City,19.4326,-99.1332,0.1110790997900459,11.10790997900459,0.0006915748200863761,0.06915748200863761,0.11169385510167973,11.169385510167974
Wellington,-41.2865,174.7762,0.09261755603789007,9.261755603789007,0.0009822724945049808,0.09822724945049807,0.09350885285459087,9.350885285459087
Portland,45.5152,-122.6784,0.0857204992714485,8.57204992714485,0.0001211631663974152,0.012116316639741519,0.08583127627072906,8.583127627072907
New Orleans,29.9511,-90.0715,0.06556487251567385,6.556487251567384,0.00044993164650602974,0.044993164650602976,0.06598530445113593,6.598530445113592
Houston,29.7604,-95.3698,0.061864222217507765,6.186422221750776,0.00044993164650602974,0.044993164650602976,0.062286319192651596,6.22863191926516
Lima,-12.0464,-77.0428,0.056235296961103395,5.62352969611034,0.0013284379569495127,0.13284379569495128,0.05748902981504944,5.748902981504944
Manila,14.5995,120.9842,0.05224012853088939,5.224012853088939,0.0008819301500356147,0.08819301500356147,0.053075986536531894,5.307598653653189
Seattle,47.6062,-122.3321,0.043850204181086525,4.3850204181086525,0.0001211631663974152,0.012116316639741519,0.04396605431789824,4.396605431789824
Tokyo,35.6762,139.6503,0.03707992574928059,3.707992574928059,0.0005114071568870157,0.05114071568870157,0.0375723699667625,3.7572369966762498
Sydney,-33.8688,151.2093,0.03420479511404705,3.420479511404705,0.0006915748200863761,0.06915748200863761,0.03487271475910636,3.487271475910636
Osaka,34.6937,135.5023,0.029174058468413307,2.917405846841331,0.0005114071568870157,0.05114071568870157,0.0296705458030041,2.96705458030041
Auckland,-36.8485,174.7633,0.025133064273689273,2.5133064273689274,0.0006915748200863761,0.06915748200863761,0.02580725769937231,2.580725769937231
Quito,-0.1807,-78.4678,0.024363842143771724,2.4363842143771723,0.0013284379569495127,0.13284379569495128,0.02565991424804026,2.565991424804026
Denver,39.7392,-104.9903,0.025118131226028902,2.51181312260289,0.0,0.0,0.025118131226028906,2.5118131226028906
Berlin,52.52,13.405,0.0165013506494492,1.65013506494492,0.0,0.0,0.016501350649449242,1.6501350649449242
Frankfurt,50.1109,8.6821,0.009670154718779007,0.9670154718779007,0.0,0.0,0.009670154718778967,0.9670154718778967
Jakarta,-6.2088,106.8456,0.008712121212121213,0.8712121212121213,0.0008819301500356147,0.08819301500356147,0.00958636787978906,0.958636787978906
Hamburg,53.5511,9.9937,0.007395562770562771,0.7395562770562771,0.0,0.0,0.007395562770562747,0.7395562770562747
MÃ¼nchen,48.1351,11.582,0.0004937705269795343,0.04937705269795343,0.0,0.0,0.0004937705269795201,0.049377052697952006
Anchorage,61.2181,-149.9003,0.0001314102564102564,0.013141025641025641,0.0001211631663974152,0.012116316639741519,0.0002525575007249481,0.02525575007249481
